Auntenticación facial en ATM´s,Autenticación facial en portal Web,Contratación de productos y servicios con autenticación facial en web,Autorización de operaciones con reconocimiento facial en web,Autenticación facial en aplicaciones móviles,Análisis forense en ATMs,Análisis forense con CCTV sucursales,Sistema centralizado para tracking,Identificación de delincuentes en listas negras en tiempo real en sucursales,Identificación de delincuentes en listas negras en tiempo real en ATMs,"Identificación de personas listas blancas, listas VIP en podios",Identificación delincuentes de listas negras en podios,Identificar listas negras en edificios,Control de acceso para áreas seguras,Control de accesos de personas en edificios ,Control de acceso vehicular en edificios,Registro facial de visitas en edificios,Identificación de personas en podios,Reconocimiento de sentimientos de personas que visitan las sucursales con CCTV,Identificación de emociones desde podio,Identificación de emociones desde ATMs,Autenticación facial documental ,Reconocimiento de datos demograficos en las sucursales con CCTV,Reconocimiento de datos demograficos desde podio,Reconocimiento de datos demograficos desde ATMs
9,6,8,8,10,4,4,4,4,3,7,2,5,4,3,3,4,7,3,3,3,9,2,2,3
11,12,12,12,11,9,9,9,4,4,2,4,3,8,9,8,8,9,4,5,4,8,4,4,4
